EAN|QTY_ON_HAND|VENDOR_STOCK_ID|LIST_PRICE_EXCL_TAX|COST_PRICE|ISO_CURRENCY_CODE
8692952001000|8128|29803|||EUR
5414881531525|8536|153152|||EUR
5414886299321|3780|29932|||EUR
5414881531860|15384|153186|||EUR
5414886299642|1996|29964|||EUR
5414883012039|4344|301203|||EUR
5414883012077|2832|301207|||EUR
8692952045004|7160|30150|||EUR
5414886307392|1265|30739|||EUR
5414886307682|5060|30768|||EUR
5414886307866|4146|30786|||EUR
5414881853146|32112|185314|||EUR
5414882001096|233|200109|||EUR
5414882001393|1977|200139|||EUR
5414882001560|4414|200156|||EUR
5414886330215|7742|33021|||EUR
5414886330260|8180|33026|||EUR
5414886332875|11360|33287|||EUR
5414886332950|16440|33295|||EUR
8692952052484|5494|33308|||EUR
5414886333155|11912|33315|||EUR
8692952209260|5240|33324|||EUR
8692952000782|1032|33328|||EUR
5414886333346|6996|33334|||EUR
5414886333384|5356|33338|||EUR
5414886333421|3863|33342|||EUR
5414886333476|24|33347|||EUR
8692952005237|3540|33358|||EUR
5414886333643|18874|33364|||EUR
5414886333704|4996|33370|||EUR
5414886333742|4676|33374|||EUR
5414886333780|0|33378|||EUR
8692952277795|3583|33389|||EUR
8692952148019|3979|33395|||EUR
5414886334039|2928|33403|||EUR
5414886334084|11400|33408|||EUR
5414886342157|15936|34215|||EUR
5414886361325|14136|36132|||EUR
5414886403094|0|40309|||EUR
5414886539069|852|53906|||EUR
5414886543011|6800|54301|||EUR
5414886562470|234|56247|||EUR
5414886344496|19338|34449|||EUR
8692952072956|5200|25731|||EUR
5414886344533|8988|34453|||EUR
8692952171673|8424|25969|||EUR
5414886267498|11664|26749|||EUR
5414886267849|8700|26784|||EUR
5414886275004|7968|27500|||EUR
5414886082220|6594|8222|||EUR
5414886082268|2176|8226|||EUR
5414886082329|1834|8232|||EUR
6223015152159|46668|113952|||EUR
5414886292261|7529|29226|||EUR
5414886292407|3831|29240|||EUR
5414886292520|26304|29252|||EUR
5414886292728|6480|29272|||EUR
5414881530528|14256|153052|||EUR
5414886292766|4788|29276|||EUR
5414881530580|12736|153058|||EUR
5414881531105|11232|153110|||EUR
5414886293596|24|29359|||EUR
5414881531143|14232|153114|||EUR
5414886293718|23028|29371|||EUR
5414881531181|5808|153118|||EUR
5414881531464|14232|153146|||EUR
5414886298010|9501|29801|||EUR
5414881531518|8124|153151|||EUR
5414886299314|3996|29931|||EUR
5414881531853|17688|153185|||EUR
5414886299352|4032|29935|||EUR
5414883012022|4140|301202|||EUR
5414883012060|5880|301206|||EUR
8692952057281|9336|30149|||EUR
5414886307385|4145|30738|||EUR
5414886307675|2614|30767|||EUR
5414886307859|4482|30785|||EUR
5414882001386|3468|200138|||EUR
5414882001553|96|200155|||EUR
5414882001706|4110|200170|||EUR
8692952076886|6584|32311|||EUR
5414886330253|8520|33025|||EUR
5414886332851|11698|33285|||EUR
5414886332929|11832|33292|||EUR
8692952052491|4155|33307|||EUR
5414886242723|6048|24272|||EUR
5414886333124|22723|33312|||EUR
8692952209246|7236|33323|||EUR
8692952052460|492|33327|||EUR
5414886333339|3496|33333|||EUR
5414886333377|3502|33337|||EUR
5414886333414|3944|33341|||EUR
5414886333452|3486|33345|||EUR
5414886333575|3528|33357|||EUR
5414886333629|20863|33362|||EUR
5414886333681|17904|33368|||EUR
5414886333735|4000|33373|||EUR
5414886333773|4336|33377|||EUR
5414886333889|6338|33388|||EUR
8692952095153|4272|33394|||EUR
5414886334022|6112|33402|||EUR
5414886334077|11680|33407|||EUR
5414886337535|6948|33753|||EUR
5414886342133|32688|34213|||EUR
5414886342317|17615|34231|||EUR
5414886361318|2303|36131|||EUR
5414886361356|10390|36135|||EUR
5414886403032|30335|40303|||EUR
5414886403124|0|40312|||EUR
5414886539052|7056|53905|||EUR
5414886539120|2112|53912|||EUR
5414886541918|0|54191|||EUR
5414886543004|7280|54300|||EUR
5414886344489|30312|34448|||EUR
8692952072949|1504|25730|||EUR
5414886344526|16524|34452|||EUR
8692952002366|6168|25960|||EUR
8692952050701|491|26204|||EUR
5414886267481|8448|26748|||EUR
5414886267832|8532|26783|||EUR
8692952121272|1896|26847|||EUR
5414886274991|8352|27499|||EUR
5414886082138|443|8213|||EUR
5414886082251|832|8225|||EUR
5414886082299|819|8229|||EUR
6223015152197|62727|113951|||EUR
5414886292377|17826|29237|||EUR
5414886292438|1554|29243|||EUR
5414886292551|3000|29255|||EUR
5414886292711|8100|29271|||EUR
5414881530511|836|153051|||EUR
5414886292759|6552|29275|||EUR
5414881530566|8440|153056|||EUR
5414881530658|10296|153065|||EUR
5414886293541|4128|29354|||EUR
5414881531136|24664|153113|||EUR
5414886293695|3036|29369|||EUR
5414881531174|10426|153117|||EUR
5414881531457|3168|153145|||EUR
5414886298003|8496|29800|||EUR
5414881531495|4952|153149|||EUR
5414886299215|4140|29921|||EUR
5414881531846|15816|153184|||EUR
5414886299345|3635|29934|||EUR
5414883012008|3960|301200|||EUR
5414883012053|3840|301205|||EUR
8692952082153|6896|30145|||EUR
5414886307361|3809|30736|||EUR
5414886307668|7475|30766|||EUR
5414886307705|2743|30770|||EUR
5414886307897|1602|30789|||EUR
5414882001379|101|200137|||EUR
5414882001522|2180|200152|||EUR
5414882001614|348|200161|||EUR
5414886323033|2322|32303|||EUR
5414886330239|7646|33023|||EUR
5414886330284|8340|33028|||EUR
5414886332905|18180|33290|||EUR
5414886332998|2744|33299|||EUR
5414886242716|3600|24271|||EUR
8692952076381|3520|33311|||EUR
8692952091551|16894|33318|||EUR
8692952208492|5456|33326|||EUR
5414886333315|3080|33331|||EUR
5414886333360|324|33336|||EUR
5414886333407|3768|33340|||EUR
5414886333445|3845|33344|||EUR
5414886333490|0|33349|||EUR
5414886333568|3840|33356|||EUR
5414886333605|3771|33360|||EUR
5414886333674|280|33367|||EUR
5414886333728|6843|33372|||EUR
5414886333766|4368|33376|||EUR
5414886333803|0|33380|||EUR
8692952095191|4572|33393|||EUR
8692952107955|4716|33397|||EUR
5414886334060|10400|33406|||EUR
5414886334107|0|33410|||EUR
5414886342300|16224|34230|||EUR
5414886361349|15048|36134|||EUR
5414886403025|71360|40302|||EUR
5414886403117|0|40311|||EUR
5414886539045|0|53904|||EUR
5414886539090|2804|53909|||EUR
5414886543035|6000|54303|||EUR
5414886546227|9690|54622|||EUR
5414886550354|1618|55035|||EUR
5414886344472|22968|34447|||EUR
8692952217074|8056|25721|||EUR
5414886344519|19512|34451|||EUR
5414886267825|9300|26782|||EUR
5414886082107|932|8210|||EUR
5414886082244|8043|8224|||EUR
5414886082282|916|8228|||EUR
5414886082473|1612|8247|||EUR
5414886292346|13194|29234|||EUR
5414886292421|5850|29242|||EUR
5414886292544|3070|29254|||EUR
5414886292704|6372|29270|||EUR
5414881530481|572|153048|||EUR
5414886292742|4860|29274|||EUR
5414881530559|11752|153055|||EUR
5414881530641|13248|153064|||EUR
5414886293503|11184|29350|||EUR
5414881531129|3372|153112|||EUR
5414886293619|20484|29361|||EUR
5414881531167|21732|153116|||EUR
5414881531204|19680|153120|||EUR
5414886297990|5992|29799|||EUR
5414881531488|25552|153148|||EUR
8692952001024|8120|29804|||EUR
5414881531532|24400|153153|||EUR
5414886299338|3816|29933|||EUR
5414883012046|2952|301204|||EUR
5414883012084|2976|301208|||EUR
8692952045264|7687|30151|||EUR
5414886307354|3353|30735|||EUR
5414886307651|7187|30765|||EUR
5414886307699|8488|30769|||EUR
5414886307880|3402|30788|||EUR
5414881853153|44664|185315|||EUR
5414882001188|12|200118|||EUR
5414882001454|2000|200145|||EUR
5414882001577|5373|200157|||EUR
5414886323026|8100|32302|||EUR
5414886330222|8298|33022|||EUR
5414886330277|8004|33027|||EUR
5414886332899|4224|33289|||EUR
5414886332974|12024|33297|||EUR
5414886242709|2893|24270|||EUR
8692952067501|3728|33310|||EUR
5414886333179|4160|33317|||EUR
8692952187407|6764|33325|||EUR
5414886333292|1239|33329|||EUR
5414886333353|7548|33335|||EUR
5414886333391|6032|33339|||EUR
5414886333438|5533|33343|||EUR
5414886333483|0|33348|||EUR
5414886333599|3151|33359|||EUR
5414886333667|4080|33366|||EUR
5414886333711|4976|33371|||EUR
5414886333759|4804|33375|||EUR
5414886333797|0|33379|||EUR
5414886333926|11208|33392|||EUR
8692952107931|4428|33396|||EUR
5414886334053|11632|33405|||EUR
5414886334091|0|33409|||EUR
5414886342294|14399|34229|||EUR
5414883005802|3598|300580|||EUR
5414886274748|2736|27474|||EUR
5414886371218|4032|37121|||EUR
5414886371256|888|37125|||EUR
5414886371294|1344|37129|||EUR
5414886371430|4380|37143|||EUR
5414886371478|4368|37147|||EUR
5414886377319|0|37731|||EUR
8710675234816|31500|182047|||EUR
8710675234243|10620|182053|||EUR
8710675234076|2400|182080|||EUR
8710675234854|17160|182089|||EUR
8710675094458|864|182118|||EUR
8710675246277|12180|182148|||EUR
8710675236308|2520|182152|||EUR
5414886371201|18504|37120|||EUR
5414886371249|1104|37124|||EUR
5414886371287|1248|37128|||EUR
5414886371423|6336|37142|||EUR
5414886371461|4344|37146|||EUR
5414886371508|4296|37150|||EUR
8710675236292|10440|182043|||EUR
8710675075112|14340|182052|||EUR
8710675234052|12900|182066|||EUR
8710675234830|16680|182088|||EUR
8710675076683|17280|182107|||EUR
8710675234236|11040|182147|||EUR
8710675236445|9240|182151|||EUR
8710675257174|5040|182157|||EUR
5414886371232|672|37123|||EUR
5414886371270|1176|37127|||EUR
5414886371416|6443|37141|||EUR
5414886371454|4248|37145|||EUR
5414886371492|4248|37149|||EUR
8710675234809|17100|182050|||EUR
8710675075143|2520|182055|||EUR
8710675234212|10080|182085|||EUR
8710675234090|14280|182096|||EUR
8710675241135|16080|182146|||EUR
8710675246260|5340|182150|||EUR
8710675255378|2520|182156|||EUR
5414886371225|1176|37122|||EUR
5414886371263|888|37126|||EUR
5414886371300|1800|37130|||EUR
5414886371447|4440|37144|||EUR
5414886371485|4272|37148|||EUR
5414886377326|0|37732|||EUR
8710675234786|14280|182049|||EUR
8710675234168|6240|182054|||EUR
8710675236315|9420|182082|||EUR
8710675234892|5220|182090|||EUR
8710675241111|18540|182145|||EUR
8710675246253|9600|182149|||EUR
8710675234069|19980|182155|||EUR
8710675234779|25140|31022|||EUR
5414884001896|489|400189|||EUR
5414886534682|2760|53468|||EUR
5414886536358|120|53635|||EUR
5414886538680|978|53868|||EUR
5414886548931|434|54893|||EUR
5414886554055|420|55405|||EUR
5414885554599|8324|555459|||EUR
5414885554636|2334|555463|||EUR
5414884001803|2715|400180|||EUR
5414886534675|3641|53467|||EUR
5414886534774|3560|53477|||EUR
5414886538673|529|53867|||EUR
5414886548009|4260|54800|||EUR
5414886554048|20|55404|||EUR
5414885554094|3289|555409|||EUR
5414885554629|18540|555462|||EUR
5414884001230|2108|400123|||EUR
5414886534583|3618|53458|||EUR
5414886534767|1695|53476|||EUR
5414886538659|36|53865|||EUR
5414886554031|677|55403|||EUR
5414886554079|407|55407|||EUR
5414885554612|6960|555461|||EUR
5414886341730|4895|34173|||EUR
5414886534750|2416|53475|||EUR
5414886538642|369|53864|||EUR
5414886554062|1639|55406|||EUR
5414885554605|13751|555460|||EUR
5414885554650|996|555465|||EUR
5414886566966|5280|56696|||EUR
5414886361240|6606|36124|||EUR
5414886361288|7272|36128|||EUR
5414886372116|2538|37211|||EUR
5414884002060|5664|400206|||EUR
5414886431059|11496|43105|||EUR
5414886510150|2766|51015|||EUR
5414886510761|28|51076|||EUR
5414886510808|149|51080|||EUR
5414886510907|1608|51090|||EUR
5414886510969|3996|51096|||EUR
5414886511157|1572|51115|||EUR
5414886542052|15330|54205|||EUR
5414885570001|6018|557000|||EUR
5414886562722|11396|56272|||EUR
8414227693914|1788|75820|||EUR
8414227693150|2832|75824|||EUR
5414886251022|12753|25102|||EUR
5414886357045|110|35704|||EUR
5414886259776|4800|25977|||EUR
5414886357083|3972|35708|||EUR
5414886261205|5340|26120|||EUR
5414886361073|2290|36107|||EUR
5414886361110|7944|36111|||EUR
5414886361158|4784|36115|||EUR
5414886361196|4040|36119|||EUR
5411511531993|4338|26789|||EUR
5411511531795|3264|26795|||EUR
5411511303118|2655|26804|||EUR
5414886274670|12863|27467|||EUR
5414886274953|11075|27495|||EUR
5414881171363|704|117136|||EUR
5414881171455|4631|117145|||EUR
5414881171509|4895|117150|||EUR
5414881173169|15619|117316|||EUR
5414883006038|4230|300603|||EUR
5414886190802|6359|19080|||EUR
5414886313577|1108|31357|||EUR
5414886190840|14950|19084|||EUR
5414886190888|12200|19088|||EUR
8052282960123|4100|19092|||EUR
5414886316158|0|31615|||EUR
5414886198723|8308|19872|||EUR
5414886316639|9009|31663|||EUR
5414886316677|7316|31667|||EUR
5414886316714|4523|31671|||EUR
5414882002826|16812|200282|||EUR
5414886316806|9546|31680|||EUR
5414886244925|13524|24492|||EUR
5414886246394|4607|24639|||EUR
5414886246615|1560|24661|||EUR
5414886246653|2117|24665|||EUR
5414886246691|2657|24669|||EUR
5414886343451|1788|34345|||EUR
5414886246752|3191|24675|||EUR
5414886343499|1380|34349|||EUR
5414886246813|401|24681|||EUR
5414886343536|970|34353|||EUR
5414886361233|6504|36123|||EUR
5414886361271|8022|36127|||EUR
5414886373274|9496|37327|||EUR
5414884002053|10944|400205|||EUR
5411511532303|5646|42004|||EUR
5414886431097|156768|43109|||EUR
5414886510754|1538|51075|||EUR
5414886510792|888|51079|||EUR
5414886510839|1662|51083|||EUR
5414886510952|2880|51095|||EUR
5414886539007|27716|53900|||EUR
5414886542045|11117|54204|||EUR
8414227693143|4752|75823|||EUR
5414886343567|1016|34356|||EUR
5414886357038|4073|35703|||EUR
5414886357076|4548|35707|||EUR
5414886261168|19090|26116|||EUR
5414886361066|2612|36106|||EUR
5414886261359|9264|26135|||EUR
5414886361103|4628|36110|||EUR
5414886263902|8634|26390|||EUR
5414886361141|4532|36114|||EUR
5414886361189|5144|36118|||EUR
5410306873058|9000|26794|||EUR
5411511300445|1560|26803|||EUR
5414881171448|5472|117144|||EUR
5414881171486|2204|117148|||EUR
5414881173152|27648|117315|||EUR
5414886140913|14448|14091|||EUR
8052282960154|4700|19047|||EUR
5414886313522|13320|31352|||EUR
5414886190833|7600|19083|||EUR
5414886190871|7560|19087|||EUR
5414886190918|2736|19091|||EUR
5414886198716|5891|19871|||EUR
5414886316622|11117|31662|||EUR
5414886198792|36|19879|||EUR
5414886316660|11261|31666|||EUR
5414886316707|1940|31670|||EUR
5414886316790|8706|31679|||EUR
5414886245120|5658|24512|||EUR
5414886246387|4103|24638|||EUR
5414886246424|4535|24642|||EUR
5414886246646|1592|24664|||EUR
5414886246684|939|24668|||EUR
5414886246745|3404|24674|||EUR
5414886343482|738|34348|||EUR
5414886246806|3682|24680|||EUR
5414886343529|1578|34352|||EUR
5414886251015|8496|25101|||EUR
5414886361226|5882|36122|||EUR
5414886361264|5688|36126|||EUR
5414886373267|9352|37326|||EUR
5414884002046|6912|400204|||EUR
5414886431080|50808|43108|||EUR
5414886510785|8|51078|||EUR
5414886510822|1141|51082|||EUR
5414886510921|552|51092|||EUR
5414886511171|948|51117|||EUR
5414886538994|15912|53899|||EUR
5414886545008|4824|54500|||EUR
5414885570025|4162|557002|||EUR
8414227693136|3808|75822|||EUR
5414886343550|944|34355|||EUR
5414886357014|10121|35701|||EUR
5414886357069|4920|35706|||EUR
5414886260161|280|26016|||EUR
5414886361059|612|36105|||EUR
5414886261311|480|26131|||EUR
5414886361097|1313|36109|||EUR
5414886361134|5832|36113|||EUR
5414886361172|7723|36117|||EUR
5411511532013|3324|26792|||EUR
5411511300087|2412|26802|||EUR
5414886274595|29562|27459|||EUR
5414886274717|5328|27471|||EUR
5414881171431|1270|117143|||EUR
5414881171479|1529|117147|||EUR
5414881173145|3648|117314|||EUR
5414886140876|8872|14087|||EUR
5414883005970|14788|300597|||EUR
5414886163240|27443|16324|||EUR
5414886312990|1172|31299|||EUR
5414886313508|7600|31350|||EUR
5414886190826|6675|19082|||EUR
5414886313591|3384|31359|||EUR
5414886190864|12042|19086|||EUR
5414886190901|400|19090|||EUR
8052282960147|5190|19094|||EUR
5414886198747|4956|19874|||EUR
5414886316615|25477|31661|||EUR
5414886316653|10944|31665|||EUR
5414886316691|16028|31669|||EUR
5414886207432|1488|20743|||EUR
5414882240075|14016|224007|||EUR
5414886238689|5212|23868|||EUR
5414886239594|4116|23959|||EUR
5414886245113|3120|24511|||EUR
5414886246417|5112|24641|||EUR
5414886246639|1697|24663|||EUR
5414886246677|659|24667|||EUR
5414886246714|4488|24671|||EUR
5414886343475|1654|34347|||EUR
5414886246790|4140|24679|||EUR
5414886343512|1740|34351|||EUR
5414886246837|2006|24683|||EUR
5414886361219|5856|36121|||EUR
5414886361257|4740|36125|||EUR
5414886361295|5502|36129|||EUR
5414886373250|8680|37325|||EUR
5414884002039|31872|400203|||EUR
5414886431066|36528|43106|||EUR
5414886510778|2402|51077|||EUR
5414886510815|2496|51081|||EUR
5414886510914|2148|51091|||EUR
5414886510976|10896|51097|||EUR
5414886511164|1548|51116|||EUR
5414886532848|5952|53284|||EUR
5414886542069|11982|54206|||EUR
5414885570018|803|557001|||EUR
8414227032140|1800|75821|||EUR
5414886253804|236|25380|||EUR
5414886357007|910|35700|||EUR
5414886357052|2196|35705|||EUR
5414886259783|16|25978|||EUR
5414886357090|3404|35709|||EUR
5414886361080|630|36108|||EUR
5414886262011|3048|26201|||EUR
5414886361127|7519|36112|||EUR
5414886267061|605|26706|||EUR
5414886361165|8168|36116|||EUR
5414886361202|5556|36120|||EUR
5411511532006|3408|26791|||EUR
5411511300438|5100|26801|||EUR
5411511318143|4074|26811|||EUR
5414886274700|9972|27470|||EUR
5414886274977|192|27497|||EUR
5414881171424|623|117142|||EUR
5414881171462|749|117146|||EUR
5414881171516|3536|117151|||EUR
5414883005888|30420|300588|||EUR
5414883006083|19516|300608|||EUR
5414886163226|251|16322|||EUR
5414886313492|5700|31349|||EUR
5414886190819|8280|19081|||EUR
5414886313584|1158|31358|||EUR
5414886190857|9799|19085|||EUR
5414886190895|18329|19089|||EUR
5414886315700|3276|31570|||EUR
8052282960130|4450|19093|||EUR
5414886316202|4535|31620|||EUR
5414886198730|4452|19873|||EUR
5414886316608|12648|31660|||EUR
5414886316646|11380|31664|||EUR
5414886316684|4392|31668|||EUR
5414886217004|16452|21700|||EUR
5414886238672|4752|23867|||EUR
5414886239587|8832|23958|||EUR
5414886245007|21970|24500|||EUR
5414886246400|5448|24640|||EUR
5414886246622|2516|24662|||EUR
5414886341662|5400|34166|||EUR
5414886246660|2937|24666|||EUR
5414886246707|938|24670|||EUR
5414886343468|1248|34346|||EUR
5414886246769|528|24676|||EUR
5414886343505|1313|34350|||EUR
5414886246820|2415|24682|||EUR
5414886343543|848|34354|||EUR
5414886373205|6696|37320|||EUR
5414886538512|14544|53851|||EUR
5414886241481|138|24148|||EUR
5414886538505|1046|53850|||EUR
5414882247005|3288|224700|||EUR
5414886241474|1720|24147|||EUR
5414886538499|19324|53849|||EUR
5414886538482|19144|53848|||EUR
5414886432155|4062|43215|||EUR
5414886440044|5460|44004|||EUR
5414886440082|4176|44008|||EUR
5414886440129|5376|44012|||EUR
5414886440174|2940|44017|||EUR
5414886440211|2853|44021|||EUR
5414886440259|1180|44025|||EUR
5414886440297|246|44029|||EUR
5414886440334|573|44033|||EUR
5414886440372|100|44037|||EUR
5414886133120|1092|13312|||EUR
5414886293725|7800|29372|||EUR
5414881533031|600|153303|||EUR
5414881533079|1356|153307|||EUR
5414881533116|4536|153311|||EUR
5414881533154|2124|153315|||EUR
5414881533192|6504|153319|||EUR
5414881533239|6612|153323|||EUR
5414886313096|1270|31309|||EUR
5414886313751|444|31375|||EUR
5414886316769|390|31676|||EUR
5414886323293|23004|32329|||EUR
5414886214607|114800|21460|||EUR
5414886239440|6696|23944|||EUR
5414886245816|1260|24581|||EUR
5414886245908|146|24590|||EUR
5414886245960|62|24596|||EUR
5414886246004|792|24600|||EUR
5414886246042|261|24604|||EUR
5414886246097|1446|24609|||EUR
5414886246134|114|24613|||EUR
5414886246189|440|24618|||EUR
5414886246226|2340|24622|||EUR
5414886246264|1622|24626|||EUR
5414886246301|2268|24630|||EUR
5414886246349|1148|24634|||EUR
5414886246431|249|24643|||EUR
5414886246486|234|24648|||EUR
5414886246561|288|24656|||EUR
5414886372666|499|37266|||EUR
5414886440020|2100|44002|||EUR
5414886440075|5388|44007|||EUR
5414886440112|5928|44011|||EUR
5414886440167|2770|44016|||EUR
5414886440204|2160|44020|||EUR
5414886440242|946|44024|||EUR
5414886440280|274|44028|||EUR
5414886440327|624|44032|||EUR
5414886440365|141|44036|||EUR
5414886440402|423|44040|||EUR
5414886255310|5952|25531|||EUR
5414886274663|6143|27466|||EUR
5414886133113|2171|13311|||EUR
5414886293756|2184|29375|||EUR
5414881533024|2172|153302|||EUR
5414881533062|3486|153306|||EUR
5414883005994|7716|300599|||EUR
5414881533109|3372|153310|||EUR
5414881533147|1631|153314|||EUR
5414881533185|6432|153318|||EUR
5414881533222|6504|153322|||EUR
5414886313089|2046|31308|||EUR
5414886313744|688|31374|||EUR
5414886315915|2190|31591|||EUR
