ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5905575906779||Silicon Kettle  0,6 L -  travel|659|||||EUR
|5905575906793||Silicon Kettle  0,6 L -  travel|832|||||EUR
|5905575908032||Electric Kettle plastic - travel 0,5l|2791|||||EUR
|5905575904102||Wireless speaker with radio|1225|||||EUR
|5905575904126||Bluetooth speaker|1515|||||EUR
|5905575905499||PLL AM/FM Digital Radio|67|||||EUR
|5905575905536||Digital radio PLL AM/FM|1640|||||EUR
|5905575905512||Digital Radio - PLL AM/FM|1069|||||EUR
|5905575904546||AM / FM Radio AD 1909|0|||||EUR
|5905575906342||Construction radio with Bluetooth|1166|||||EUR
|5905575906472||Waterproof universal radio AD 1912|599|||||EUR
|5905575907578||AD 1914 Turntable|908|||||EUR
|5905575907592||AD 1914 Turntable|835|||||EUR
|5905575907615||Turntable with USB|723|||||EUR
|5908256839649||Hair styler - 1200W - 6 attachments + travel pouch|990|||||EUR
|5905575901637||Hair styler - 1200W - 2 attachments|902|||||EUR
|5905575901651||Hair styler 5 in 1 - 1200W - 5 attachments|2235|||||EUR
|5908256832527||Hair straightener 2 in 1 - ceramic|0|||||EUR
|5908256832534||Curling iron - 19mm|311|||||EUR
|5908256832541||Curling iron - 25mm|821|||||EUR
|5902934831376||Curling iron - 32mm|1830|||||EUR
|5902934836210||Curling iron with comb - 26mm|83|||||EUR
|5902934838931||Curling iron with LCD - 25mm|206|||||EUR
|5902934838955||Curling iron - 25mm|0|||||EUR
|5902934839037||Curling iron - 19mm - temp. control|0|||||EUR
|5903887808262||Curling iron - 25mm - temp. control|241|||||EUR
|5903887808286||Curling iron - 32mm - temp. control|2784|||||EUR
|5905575906595||Conical curling iron|1884|||||EUR
|5905575906977||Cordless curling iron - USB|1805|||||EUR
|5902934830577||Roller set for AD 2155|841|||||EUR
|5908256835818||Mirror LED|600|||||EUR
|5902934830294||Foot massager|1018|||||EUR
|5902934832182||LED Bathroom Mirror|2360|||||EUR
|5902934838276||Heads for sonic toothbrush AD 2175|592|||||EUR
|5903887800273||Travel Oral Irigator|0|||||EUR
|5903887801768||Foot Massager|860|||||EUR
|5903887808057||Facial cleansing brush|1580|||||EUR
|5905575901019||5 in 1 Electric nail drill|746|||||EUR
|5905575902863||2-in-1 Water Flossing Sonic Brush|351|||||EUR
|5905575902887||2-in-1 Water Flossing Sonic Brush|324|||||EUR
|5905575904836||Electric nail drill – set 11 in 1|2180|||||EUR
|5908256830288||Hair dryer 1200 W|763|||||EUR
|5908256838680||Hair dryer 2000W ION, diffuser, AC motor|1106|||||EUR
|5902934830300||Hair dryer 1400 W|346|||||EUR
|5903887801706||ION HAIR DRYER - 2200W + diffuser|2943|||||EUR
|5902934831062||ION HAIR DRYER - 2200W + diffuser|146|||||EUR
|5902934831321||Hair dryer 1400 W|1218|||||EUR
|5902934833226||Hair dryer for hotel and swimming pool|2458|||||EUR
|5903887802246||Hair dryer 1200W|1131|||||EUR
|5903887802260||Hair dryer 1600W|1884|||||EUR
|5903887802307||Hair dryer 1800W|3763|||||EUR
|5903887802345||Hair dryer 1200W|2368|||||EUR
|5903887802321||Hair dryer 1200W|1093|||||EUR
|5903887803021||Hair dryer - rubber housing - 2100W + diffuser|0|||||EUR
|5905575901965||SUPERSPEED Hair dryer|263|||||EUR
|5905575901941||SUPERSPEED Hair dryer|235|||||EUR
|5905575902085||SUPERSPEED hair dryer - Brushless motor 110,000 RPM|536|||||EUR
|5905575901422||SUPERSPEED - Hair Dryer|135|||||EUR
|5905575903648||Hair dryer with retractable power cord - 2400W + diffuser|3916|||||EUR
|5905575904201||Hair dryer - 1400W|1227|||||EUR
|5905575904249||Hair dryer|1396|||||EUR
|5905575904225||Hair dryer|1502|||||EUR
|5905575906755||Hair dryer with retractable power cord - 2400W + diffuser|2644|||||EUR
|5905575908018||Hair Dryer - Wall-Mount|2789|||||EUR
|5902934831352||Hair straightener - ceramic|1178|||||EUR
|5902934831345||Infrared Hair Straightener  - with temp. control|3469|||||EUR
|5903887805117||Hair straightener - ceramic /w temp. control|1584|||||EUR
|5903887808309||Hair brush|1353|||||EUR
|5905575902733||Hair straightener - wide (/w temp. control)|1347|||||EUR
|5905575903600||Professional Airflow styler|892|||||EUR
|5905575907493||Cordless hair straightener – USB|1388|||||EUR
|5905575907479||Cordless hair straightener – USB|1331|||||EUR
|5908256838468||Hair clipper|2037|||||EUR
|5908256833630||Hair clipper + trimmer|1089|||||EUR
|5908256836150||Hair clipper for pets - USB|700|||||EUR
|5908256838604||Hair clipper|2461|||||EUR
|5902934830423||Hair clipper|1257|||||EUR
|5902934832748||Hair clippers head to AD 2827|409|||||EUR
|5903887802383||Proffesional Hair clipper|1485|||||EUR
|5903887803120||Blade for AD2831|326|||||EUR
|5902934833783||Hair Clipper|1392|||||EUR
|5902934834520||Blade for AD 2832|140|||||EUR
|5903887802369||Hair Clipper LCD|1218|||||EUR
|5903887803144||Head For AD 2834|414|||||EUR
|5903887805544||Trimmer professional - USB|703|||||EUR
|5903887805520||Trimmer professional - USB|665|||||EUR
|5903887805568||Blade for AD 2836 Gold and AD 2836 Silver|0|||||EUR
|5905575901750||Hair clipper LED - USB-c|846|||||EUR
|5905575904812||Shaver for men|1379|||||EUR
|5908256833135||Trimmer|2754|||||EUR
|5902934830997||Beard Trimmer - USB charging|0|||||EUR
|5902934832120||Shaver - USB charging|0|||||EUR
|5902934834490||Foil for shaver AD2923|0|||||EUR
|5902934838399||Men shaver|0|||||EUR
|5902934838412||Head for AD 2928|97|||||EUR
|5903887805650||Electric shaver AD 2933 3 heads|86|||||EUR
|5903887805674||Dualtrack Head For AD 2933|268|||||EUR
|5903887805841||Eyebrow trimmer|2017|||||EUR
|5903887805827||Eyebrow trimmer|820|||||EUR
|5903887807067||Travel Shaver - USB 2 heads|510|||||EUR
|5903887807128||Head for AD 2936|0|||||EUR
|5903887807081||Travel Shaver - USB 2 heads|1902|||||EUR
|5903887807142||Head for AD 2937|65|||||EUR
|5903887807401||Laddy trimmer|2734|||||EUR
|5903887807913||Heaed for AD 2940|437|||||EUR
|5903887808033||Lady shaver|289|||||EUR
|5903887808484||Replacement foil for AD 2941|225|||||EUR
|5905575901477||Grooming 5 in 1 set - LED - USB-c|1855|||||EUR
|5905575901774||Grooming 6 in 1 set - LED - USB-c|691|||||EUR
|5905575901675||Electric shaver with beard trimmer - LED - USB - IPX7|2322|||||EUR
|5905575901989||5in1 Men’s grooming kit|0|||||EUR
|5901436590279||Sandwich maker|1768|||||EUR
|5908256832503||Sandwich maker|1852|||||EUR
|5902934830041||Waffle maker 1300 W|3600|||||EUR
|5902934830256||Wafer maker/cone maker|1065|||||EUR
|5902934831024||Nut Maker (24 pcs) XL|2005|||||EUR
|5905575900081||Nut Maker (24 pcs) XL|0|||||EUR
|5902934832168||Multifunctional Baking Device 5in1|4140|||||EUR
|5902934835459||Sandwich maker. USA Size XXL|1805|||||EUR
|5903887802970||Waffle maker|3971|||||EUR
|5902934839310||Electric grill XL|1166|||||EUR
|5903887801959||Electric grill|1317|||||EUR
|5903887802031||Sandwich Maker|2243|||||EUR
|5903887807043||Crepe maker|1969|||||EUR
|5903887807937||Electric grill LED 2in1|703|||||EUR
|5905575900357||Waffle bowl maker|2362|||||EUR
|5905575901408||Multifunctional device - toasting, baking, grilling ( Double-sided)|1327|||||EUR
|5905575902573||Electric grill|720|||||EUR
|5905575902719||Sandwich Maker|534|||||EUR
|5905575902924||Sandwich maker 2 in 1|625|||||EUR
|5905575902559||Sandwich maker 2 in 1|613|||||EUR
|5905575902528||Nut Cookie Maker (12 pcs)|2246|||||EUR
|5905575902474||Electric grill|1710|||||EUR
|5905575903112||Sandwich maker 2 in 1|1301|||||EUR
|5905575904959||Donut maker  - 7 donuts|5150|||||EUR
|5905575904935||Sandwich maker|2310|||||EUR
|5905575903624||Sandwich maker|1594|||||EUR
|5905575904973||Waffle maker 1800 W|963|||||EUR
|5905575906410||Waffle maker|2642|||||EUR
|5905575907639||Waffle Maker with LED Display|1840|||||EUR
|5901436590286||Waffle maker 700 W|959|||||EUR
|5901436590132||Kitchen scale with a bowl 1,8L|2099|||||EUR
|5908256839434||Kitchen scale with a bowl|83|||||EUR
|5907633494587||Kitchen scale with a bowl|1864|||||EUR
