ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5905575906779||Silicon Kettle  0,6 L -  travel|628|||||EUR
|5905575906793||Silicon Kettle  0,6 L -  travel|831|||||EUR
|5905575908032||Electric Kettle plastic - travel 0,5l|2790|||||EUR
|5905575904102||Wireless speaker with radio|1216|||||EUR
|5905575904126||Bluetooth speaker|1514|||||EUR
|5905575905499||PLL AM/FM Digital Radio|66|||||EUR
|5905575905536||Digital radio PLL AM/FM|1640|||||EUR
|5905575905512||Digital Radio - PLL AM/FM|1069|||||EUR
|5905575904546||AM / FM Radio AD 1909|0|||||EUR
|5905575906342||Construction radio with Bluetooth|1149|||||EUR
|5905575906472||Waterproof universal radio AD 1912|597|||||EUR
|5905575907578||AD 1914 Turntable|908|||||EUR
|5905575907592||AD 1914 Turntable|834|||||EUR
|5905575907615||Turntable with USB|722|||||EUR
|5908256839649||Hair styler - 1200W - 6 attachments + travel pouch|952|||||EUR
|5905575901637||Hair styler - 1200W - 2 attachments|895|||||EUR
|5905575901651||Hair styler 5 in 1 - 1200W - 5 attachments|2176|||||EUR
|5908256832527||Hair straightener 2 in 1 - ceramic|0|||||EUR
|5908256832534||Curling iron - 19mm|282|||||EUR
|5908256832541||Curling iron - 25mm|816|||||EUR
|5902934831376||Curling iron - 32mm|1734|||||EUR
|5902934836210||Curling iron with comb - 26mm|59|||||EUR
|5902934838931||Curling iron with LCD - 25mm|193|||||EUR
|5902934838955||Curling iron - 25mm|0|||||EUR
|5902934839037||Curling iron - 19mm - temp. control|0|||||EUR
|5903887808262||Curling iron - 25mm - temp. control|235|||||EUR
|5903887808286||Curling iron - 32mm - temp. control|2769|||||EUR
|5905575906595||Conical curling iron|1883|||||EUR
|5905575906977||Cordless curling iron - USB|1800|||||EUR
|5902934830577||Roller set for AD 2155|836|||||EUR
|5908256835818||Mirror LED|600|||||EUR
|5902934830294||Foot massager|895|||||EUR
|5902934832182||LED Bathroom Mirror|2306|||||EUR
|5902934838276||Heads for sonic toothbrush AD 2175|592|||||EUR
|5903887800273||Travel Oral Irigator|0|||||EUR
|5903887801768||Foot Massager|859|||||EUR
|5903887808057||Facial cleansing brush|1567|||||EUR
|5905575901019||5 in 1 Electric nail drill|693|||||EUR
|5905575902863||2-in-1 Water Flossing Sonic Brush|351|||||EUR
|5905575902887||2-in-1 Water Flossing Sonic Brush|324|||||EUR
|5905575904836||Electric nail drill – set 11 in 1|2168|||||EUR
|5908256830288||Hair dryer 1200 W|754|||||EUR
|5908256838680||Hair dryer 2000W ION, diffuser, AC motor|1096|||||EUR
|5902934830300||Hair dryer 1400 W|49|||||EUR
|5903887801706||ION HAIR DRYER - 2200W + diffuser|2949|||||EUR
|5902934831062||ION HAIR DRYER - 2200W + diffuser|50|||||EUR
|5902934831321||Hair dryer 1400 W|1134|||||EUR
|5902934833226||Hair dryer for hotel and swimming pool|2425|||||EUR
|5903887802246||Hair dryer 1200W|1117|||||EUR
|5903887802260||Hair dryer 1600W|1883|||||EUR
|5903887802307||Hair dryer 1800W|3751|||||EUR
|5903887802345||Hair dryer 1200W|2226|||||EUR
|5903887802321||Hair dryer 1200W|1093|||||EUR
|5903887803021||Hair dryer - rubber housing - 2100W + diffuser|0|||||EUR
|5905575901965||SUPERSPEED Hair dryer|263|||||EUR
|5905575901941||SUPERSPEED Hair dryer|235|||||EUR
|5905575902085||SUPERSPEED hair dryer - Brushless motor 110,000 RPM|536|||||EUR
|5905575901422||SUPERSPEED - Hair Dryer|135|||||EUR
|5905575903648||Hair dryer with retractable power cord - 2400W + diffuser|3892|||||EUR
|5905575904201||Hair dryer - 1400W|1224|||||EUR
|5905575904249||Hair dryer|1396|||||EUR
|5905575904225||Hair dryer|1501|||||EUR
|5905575906755||Hair dryer with retractable power cord - 2400W + diffuser|2642|||||EUR
|5905575908018||Hair Dryer - Wall-Mount|2776|||||EUR
|5902934831352||Hair straightener - ceramic|1104|||||EUR
|5902934831345||Infrared Hair Straightener  - with temp. control|3433|||||EUR
|5903887805117||Hair straightener - ceramic /w temp. control|1580|||||EUR
|5903887808309||Hair brush|1351|||||EUR
|5905575902733||Hair straightener - wide (/w temp. control)|1347|||||EUR
|5905575903600||Professional Airflow styler|890|||||EUR
|5905575907493||Cordless hair straightener – USB|1388|||||EUR
|5905575907479||Cordless hair straightener – USB|1329|||||EUR
|5908256838468||Hair clipper|2033|||||EUR
|5908256833630||Hair clipper + trimmer|1086|||||EUR
|5908256836150||Hair clipper for pets - USB|643|||||EUR
|5908256838604||Hair clipper|2460|||||EUR
|5902934830423||Hair clipper|1248|||||EUR
|5902934832748||Hair clippers head to AD 2827|408|||||EUR
|5903887802383||Proffesional Hair clipper|1473|||||EUR
|5903887803120||Blade for AD2831|326|||||EUR
|5902934833783||Hair Clipper|1388|||||EUR
|5902934834520||Blade for AD 2832|140|||||EUR
|5903887802369||Hair Clipper LCD|1218|||||EUR
|5903887803144||Head For AD 2834|414|||||EUR
|5903887805544||Trimmer professional - USB|700|||||EUR
|5903887805520||Trimmer professional - USB|663|||||EUR
|5903887805568||Blade for AD 2836 Gold and AD 2836 Silver|0|||||EUR
|5905575901750||Hair clipper LED - USB-c|827|||||EUR
|5905575904812||Shaver for men|1371|||||EUR
|5908256833135||Trimmer|2632|||||EUR
|5902934830997||Beard Trimmer - USB charging|0|||||EUR
|5902934832120||Shaver - USB charging|0|||||EUR
|5902934834490||Foil for shaver AD2923|0|||||EUR
|5902934838399||Men shaver|0|||||EUR
|5902934838412||Head for AD 2928|97|||||EUR
