Link;Price;Currency;Available_in_warehouse_pcs;EAN_PCS;Product_name
ad_2026;7.93;EUR;895;5905575901637;Hair styler - 1200W - 2 attachments
ad_2027;15.28;EUR;2176;5905575901651;Hair styler 5 in 1 - 1200W - 5 attachments
ad_2104;6.47;EUR;0;5908256832527;Hair straightener 2 in 1 - ceramic
ad_2105;4.11;EUR;282;5908256832534;Curling iron - 19mm
ad_2106;4.05;EUR;816;5908256832541;Curling iron - 25mm
ad_2112;4.51;EUR;1734;5902934831376;Curling iron - 32mm
ad_2113;8.46;EUR;59;5902934836210;Curling iron with comb - 26mm
ad_2114;7.99;EUR;193;5902934838931;Curling iron with LCD - 25mm
ad_2115;4.63;EUR;0;5902934838955;Curling iron - 25mm
ad_2116;6.43;EUR;0;5902934839037;Curling iron - 19mm - temp. control
ad_2117;6.63;EUR;235;5903887808262;Curling iron - 25mm - temp. control 
ad_2118;6.81;EUR;2769;5903887808286;Curling iron - 32mm - temp. control
ad_2119;7.52;EUR;1883;5905575906595;Conical curling iron
ad_2120;14.56;EUR;1800;5905575906977;Cordless curling iron - USB
ad_2155_1;0.88;EUR;836;5902934830577;Roller set for AD 2155
ad_2159;9.17;EUR;600;5908256835818;Mirror LED
ad_2167;16.72;EUR;895;5902934830294;Foot massager
ad_2168;5.55;EUR;2306;5902934832182;LED Bathroom Mirror
ad_2175.1;2.04;EUR;592;5902934838276;Heads for sonic toothbrush AD 2175
ad_2176;16.55;EUR;0;5903887800273;Travel Oral Irigator
ad_2177;25.94;EUR;859;5903887801768;Foot Massager
ad_2178;5.74;EUR;1567;5903887808057;Facial cleansing brush
ad_2179;6.75;EUR;693;5905575901019;5 in 1 Electric nail drill
ad_2180b;30.40;EUR;351;5905575902863;2-in-1 Water Flossing Sonic Brush
ad_2180w;30.40;EUR;324;5905575902887;2-in-1 Water Flossing Sonic Brush
ad_2181;15.08;EUR;2168;5905575904836;Electric nail drill – set 11 in 1
ad_2222;4.75;EUR;754;5908256830288;Hair dryer 1200 W
ad_2244;11.94;EUR;1096;5908256838680;Hair dryer 2000W ION, diffuser, AC motor
ad_2247;4.76;EUR;49;5902934830300;Hair dryer 1400 W
ad_2248b;9.16;EUR;2949;5903887801706;ION HAIR DRYER - 2200W + diffuser
ad_2248;9.16;EUR;50;5902934831062;ION HAIR DRYER - 2200W + diffuser
ad_2251;3.78;EUR;1134;5902934831321;Hair dryer 1400 W
ad_2252;8.86;EUR;2425;5902934833226;Hair dryer for hotel and swimming pool
ad_2259;4.52;EUR;1117;5903887802246;Hair dryer 1200W
ad_2260;5.77;EUR;1883;5903887802260;Hair dryer 1600W
ad_2263;5.89;EUR;3751;5903887802307;Hair dryer 1800W
ad_2265;5.01;EUR;2226;5903887802345;Hair dryer 1200W
ad_2266;5.11;EUR;1093;5903887802321;Hair dryer 1200W
ad_2267;7.50;EUR;0;5903887803021;Hair dryer - rubber housing - 2100W + diffuser
ad_2270b;31.16;EUR;263;5905575901965;SUPERSPEED Hair dryer
ad_2270p;31.16;EUR;235;5905575901941;SUPERSPEED Hair dryer
ad_2271;40.45;EUR;536;5905575902085;SUPERSPEED hair dryer - Brushless motor 110,000 RPM
ad_2272;31.87;EUR;135;5905575901422;SUPERSPEED - Hair Dryer
ad_2273;11.43;EUR;3892;5905575903648;Hair dryer with retractable power cord - 2400W + diffuser
ad_2278;6.49;EUR;1224;5905575904201;Hair dryer - 1400W
ad_2279b;8.86;EUR;1396;5905575904249;Hair dryer
ad_2279p;8.86;EUR;1501;5905575904225;Hair dryer
ad_2283;10.25;EUR;2642;5905575906755;Hair dryer with retractable power cord - 2400W + diffuser
ad_2285w;11.73;EUR;2776;5905575908018;Hair Dryer - Wall-Mount 
ad_2317;4.69;EUR;1104;5902934831352;Hair straightener - ceramic
ad_2318;8.01;EUR;3433;5902934831345;Infrared Hair Straightener  - with temp. control
ad_2321;8.81;EUR;1580;5903887805117;Hair straightener - ceramic /w temp. control
ad_2324;6.19;EUR;1351;5903887808309;Hair brush
ad_2325;7.65;EUR;1347;5905575902733;Hair straightener - wide (/w temp. control)
ad_2326;12.18;EUR;890;5905575903600;Professional Airflow styler
ad_2327b;17.28;EUR;1388;5905575907493;Cordless hair straightener – USB
ad_2327p;17.28;EUR;1329;5905575907479;Cordless hair straightener – USB
ad_2818;7.74;EUR;2033;5908256838468;Hair clipper
ad_2822;9.80;EUR;1086;5908256833630;Hair clipper + trimmer
ad_2823;12.84;EUR;643;5908256836150;Hair clipper for pets - USB
ad_2825;4.78;EUR;2460;5908256838604;Hair clipper
ad_2827;12.56;EUR;1248;5902934830423;Hair clipper
ad_2827.1;3.51;EUR;408;5902934832748;Hair clippers head to AD 2827
ad_2831;19.84;EUR;1473;5903887802383;Proffesional Hair clipper
ad_2831.1;6.17;EUR;326;5903887803120;Blade for AD2831
ad_2832;10.90;EUR;1388;5902934833783;Hair Clipper
ad_2832.1;3.78;EUR;140;5902934834520;Blade for AD 2832
ad_2834;16.34;EUR;1218;5903887802369;Hair Clipper LCD
ad_2834.1;3.66;EUR;414;5903887803144;Head For AD 2834
ad_2836g;14.81;EUR;700;5903887805544;Trimmer professional - USB                                                                                                                               
ad_2836s;14.81;EUR;663;5903887805520;Trimmer professional - USB        
ad_2836.1;4.27;EUR;0;5903887805568;Blade for AD 2836 Gold and AD 2836 Silver
ad_2839;11.53;EUR;827;5905575901750;Hair clipper LED - USB-c
ad_2910w;7.73;EUR;1371;5905575904812;Shaver for men
ad_2911;1.57;EUR;2632;5908256833135;Trimmer
ad_2922;7.12;EUR;0;5902934830997;Beard Trimmer - USB charging
ad_2923;6.14;EUR;0;5902934832120;Shaver - USB charging
ad_2923.1;0.61;EUR;0;5902934834490;Foil for shaver AD2923
ad_2928;7.40;EUR;0;5902934838399;Men shaver
ad_2928.1;2.14;EUR;97;5902934838412;Head for AD 2928
ad_2933;11.17;EUR;54;5903887805650;Electric shaver AD 2933 3 heads
ad_2933.1;3.67;EUR;266;5903887805674;Dualtrack Head For AD 2933
ad_2934b;3.87;EUR;1932;5903887805841;Eyebrow trimmer
ad_2934w;3.37;EUR;820;5903887805827;Eyebrow trimmer
ad_2936;6.35;EUR;477;5903887807067;Travel Shaver - USB 2 heads
ad_2936.1;1.16;EUR;0;5903887807128;Head for AD 2936
ad_2937;6.46;EUR;1902;5903887807081;Travel Shaver - USB 2 heads
ad_2937.1;1.67;EUR;65;5903887807142;Head for AD 2937
ad_2939;3.56;EUR;2712;5903887807401;Laddy trimmer
ad_2940.1;3.90;EUR;436;5903887807913;Heaed for AD 2940
ad_2941;6.04;EUR;279;5903887808033;Lady shaver
ad_2941.1;0.76;EUR;225;5903887808484;Replacement foil for AD 2941
ad_2943;8.44;EUR;1853;5905575901477;Grooming 5 in 1 set - LED - USB-c
ad_2944;11.49;EUR;678;5905575901774;Grooming 6 in 1 set - LED - USB-c
ad_2945;8.98;EUR;2302;5905575901675;Electric shaver with beard trimmer - LED - USB - IPX7
ad_2946;12.18;EUR;0;5905575901989;5in1 Men’s grooming kit
ad_301;7.17;EUR;1755;5901436590279;Sandwich maker
ad_3015;6.63;EUR;1790;5908256832503;Sandwich maker
ad_3036;18.27;EUR;3590;5902934830041;Waffle maker 1300 W
ad_3038;11.37;EUR;1035;5902934830256;Wafer maker/cone maker
ad_3039;13.58;EUR;2423;5902934831024;Nut Maker (24 pcs) XL
ad_3039b;14.24;EUR;0;5905575900081;Nut Maker (24 pcs) XL
ad_3040;18.34;EUR;4072;5902934832168;Multifunctional Baking Device 5in1
ad_3043;12.02;EUR;1765;5902934835459;Sandwich maker. USA Size XXL
ad_3049;19.88;EUR;3963;5903887802970;Waffle maker
ad_3051;25.56;EUR;1176;5902934839310;Electric grill XL
ad_3052;9.92;EUR;1298;5903887801959;Electric grill 
ad_3055;12.85;EUR;2143;5903887802031;Sandwich Maker
ad_3058;14.96;EUR;1962;5903887807043;Crepe maker
ad_3059;55.14;EUR;703;5903887807937;Electric grill LED 2in1
ad_3062;16.08;EUR;2342;5905575900357;Waffle bowl maker
ad_3066;9.50;EUR;1326;5905575901408;Multifunctional device - toasting, baking, grilling ( Double-sided) 
ad_3068;9.28;EUR;730;5905575902573;Electric grill
ad_3069;8.72;EUR;544;5905575902719;Sandwich Maker
ad_3070b;17.01;EUR;625;5905575902924;Sandwich maker 2 in 1
ad_3070w;17.01;EUR;613;5905575902559;Sandwich maker 2 in 1
ad_3071;6.56;EUR;2196;5905575902528;Nut Cookie Maker (12 pcs) 
ad_3072;6.80;EUR;1710;5905575902474;Electric grill 
ad_3073;17.86;EUR;1311;5905575903112;Sandwich maker 2 in 1
ad_3075;10.30;EUR;5150;5905575904959;Donut maker  - 7 donuts
ad_3076;7.51;EUR;2317;5905575904935;Sandwich maker
ad_3079;8.60;EUR;1594;5905575903624;Sandwich maker 
ad_3083;18.37;EUR;963;5905575904973;Waffle maker 1800 W
ad_3085;16.50;EUR;2637;5905575906410;Waffle maker
ad_3087;24.74;EUR;1835;5905575907639;Waffle Maker with LED Display
ad_311;9.07;EUR;959;5901436590286;Waffle maker 700 W
ad_3134;9.41;EUR;2125;5901436590132;Kitchen scale with a bowl 1,8L
ad_3137s;6.17;EUR;93;5908256839434;Kitchen scale with a bowl
ad_3137w;5.87;EUR;1862;5907633494587;Kitchen scale with a bowl
ad_3138b;3.54;EUR;0;5908256833722;Kitchen scale
ad_3138r;3.54;EUR;992;5908256839168;Kitchen scale
ad_3138w;3.54;EUR;1241;5908256832268;Kitchen scale
ad_3161;3.95;EUR;1082;5902934830874;Precision scale - 0.1 gram
ad_3162;4.43;EUR;583;5902934830881;Precision scale - 0.1 gram
ad_3166;5.23;EUR;2102;5902934834704;Kitchen scale with a bowl
ad_3168;4.66;EUR;1139;5902934837262;Precision scale
ad_3170;5.56;EUR;1177;5903887801577;Kitchen scale - up to 15kg - big size
ad_3171;4.96;EUR;899;5903887801591;Kitchen scale - up to 10kg
ad_3173s;4.96;EUR;1874;5903887804738;Kitchen scale - up to 10kg - LED
ad_3173w;5.12;EUR;1498;5903887804714;Kitchen scale - up to 10kg - LED
ad_3176;4.69;EUR;1502;5903887807180;Precision scale
ad_3177b;7.31;EUR;1091;5903887808583;Kitchen scale 10kg USB charged
ad_3177w;7.13;EUR;117;5903887808606;Kitchen scale 10kg USB charged
ad_3178;4.90;EUR;1924;5903887809702;Kitchen scale with a measuring cup
ad_3180;4.95;EUR;596;5905575904287;Kitchen scale LCD - 10 kg
ad_3181b;3.59;EUR;0;5905575904324;Kitchen scale 
ad_3181g;3.59;EUR;120;5905575904348;Kitchen scale 
ad_3181w;3.59;EUR;39;5905575904300;Kitchen scale 
ad_3183b;4.63;EUR;992;5905575906205;Kitchen scale - 5kg
ad_3183c;4.63;EUR;1561;5905575906182;Kitchen scale - 5kg
ad_3214;11.80;EUR;3444;5903887802154;Toaster
ad_3216;7.92;EUR;907;5902934838238;Toaster 2 slice
ad_3222;14.44;EUR;1084;5903887802178;Toaster with bun grid
ad_3223;7.53;EUR;368;5903887805179;Toaster 2 slices
ad_4009;5.92;EUR;306;5903887801157;Citrus juicer
ad_4012;8.25;EUR;1812;5903887805131;Citrus juicer
ad_4014;6.06;EUR;2052;5905575904560;Citrus juicer
ad_4057;16.72;EUR;0;5908256835207;Blender
ad_4070;16.03;EUR;0;5908256839007;Blender
ad_4076;20.05;EUR;380;5902934832243;Blender - Glass jar 1,5L
ad_4076.1;4.54;EUR;24;5902934834582;Jar for AD4076 / CR4077
ad_4078;29.21;EUR;760;5902934835763;Blender
ad_4078.1;10.83;EUR;43;5902934838214;Cup for blender
ad_4081;17.85;EUR;1870;5903887801409;Personal blender with cooling stick
ad_4082;11.60;EUR;1801;5903887803274;Chopper with the glass bowl
ad_4084;14.81;EUR;198;5905575905017;Blender Smoothie Set
ad_4085;14.01;EUR;1829;5903887809863;Blender - jar 1,5L plastic 
ad_4085.1;3.24;EUR;31;5903887809887;Jug for blender AD4085
ad_4127;28.35;EUR;947;5903887809023;Juice extractor - 1000W
ad_4128;28.35;EUR;1009;5903887809047;Juice extractor - 1000W
ad_4129;28.35;EUR;257;5905575900517;Juice extractor - 1000W
ad_4130;39.43;EUR;186;5905575900975;Slow Juicer 4130
ad_4131;56.53;EUR;630;5905575900999;Slow-speed juicer 3in1 - Meat mincer, Juicer, Vegetable grater
ad_4132;18.76;EUR;1196;5905575902061;Juice extractor 600W - titanium blades
ad_4201;7.93;EUR;550;5908256831216;Mixer
ad_4202;15.11;EUR;1111;5908256831223;Mixer with a bowl
ad_4205;8.09;EUR;1739;5908256831537;Mixer
ad_4205g;8.09;EUR;1664;5908256836594;Mixer
ad_4206;14.69;EUR;2114;5908256831544;Mixer with a bowl
ad_4212;10.62;EUR;2675;5908256835375;Mixer with blending shaft
ad_4216;37.81;EUR;395;5902934834278;Planetary food processor 1000W
ad_4221;80.97;EUR;0;5903887803953;Planetary food processor 2200W 7L
ad_4224;64.57;EUR;634;5903887803014;LCD food processor 12in1
ad_4225;12.37;EUR;573;5903887802994;Hand Mixer INOX
ad_4226b;32.21;EUR;0;5903887804844;Planetary food processor 1200W
ad_4229;13.15;EUR;977;5905575905994;Hand mixer
ad_4230;12.64;EUR;1175;5905575905970;Hand mixer with a pull-out tray for accessories
ad_4232;13.93;EUR;2184;5905575907516;Hand mixer – TURBO POWER
ad_4300;40.06;EUR;1705;5905575901453;Burr coffee grinder
